cluster_rank	cluster_X	cluster_Y	best_adjusted_pvalue
21	bladder_glszm_GrayLevelVariance;bladder_glcm_Contrast;bladder_glcm_DifferenceVariance;bladder_firstorder_MeanAbsoluteDeviation;bladder_glcm_SumEntropy;bladder_firstorder_InterquartileRange;bladder_firstorder_RobustMeanAbsoluteDeviation;bladder_firstorder_Uniformity;bladder_firstorder_Entropy;bladder_glrlm_GrayLevelNonUniformityNormalized;bladder_glcm_MaximumProbability;bladder_glcm_JointEnergy;bladder_glcm_JointEntropy;bladder_firstorder_RootMeanSquared;bladder_glszm_GrayLevelNonUniformityNormalized;bladder_glcm_ClusterProminence;bladder_glcm_ClusterTendency;bladder_glrlm_GrayLevelVariance;bladder_glcm_SumSquares;bladder_firstorder_Variance;bladder_gldm_GrayLevelVariance	StDev_plasm_Texture_AngularSecondMoment_Hematoxylin_3_00_256	0.00045120381542884224
22	bladder_glszm_ZoneEntropy;bladder_glszm_GrayLevelVariance;bladder_glcm_Contrast;bladder_glcm_DifferenceVariance;bladder_firstorder_MeanAbsoluteDeviation;bladder_glcm_SumEntropy;bladder_firstorder_InterquartileRange;bladder_firstorder_RobustMeanAbsoluteDeviation;bladder_firstorder_Uniformity;bladder_firstorder_Entropy;bladder_glrlm_GrayLevelNonUniformityNormalized;bladder_glcm_MaximumProbability;bladder_glcm_JointEnergy;bladder_glcm_JointEntropy;bladder_firstorder_RootMeanSquared;bladder_glszm_GrayLevelNonUniformityNormalized;bladder_glcm_ClusterProminence;bladder_glcm_ClusterTendency;bladder_glrlm_GrayLevelVariance;bladder_glcm_SumSquares;bladder_firstorder_Variance;bladder_gldm_GrayLevelVariance	Mean_plasm_Texture_AngularSecondMoment_Hematoxylin_3_00_256	0.0004654558911161664
23	bladder_glcm_ClusterProminence;bladder_glcm_ClusterTendency;bladder_glrlm_GrayLevelVariance;bladder_glcm_SumSquares;bladder_firstorder_Variance;bladder_gldm_GrayLevelVariance	Median_plasm_AreaShape_Compactness;Mean_plasm_AreaShape_Extent;Median_plasm_AreaShape_Extent	0.000477252576263514
24	bladder_glszm_LargeAreaEmphasis;bladder_glszm_ZoneVariance	Median_nuclei_RadialDistribution_ZernikeMagnitude_Hematoxylin_8_0;Median_nuclei_RadialDistribution_ZernikeMagnitude_Hematoxylin_6_0;StDev_nuclei_RadialDistribution_ZernikeMagnitude_Hematoxylin_8_0;Median_nuclei_AreaShape_Zernike_2_0;StDev_nuclei_AreaShape_Compactness;StDev_nuclei_RadialDistribution_FracAtD_Hematoxylin_3of4;Mean_nuclei_AreaShape_Compactness;Median_nuclei_AreaShape_Compactness;Mean_nuclei_RadialDistribution_FracAtD_Hematoxylin_1of4;Median_nuclei_RadialDistribution_FracAtD_Hematoxylin_1of4;Median_plasm_AreaShape_Compactness;Mean_plasm_AreaShape_Extent;Median_plasm_AreaShape_Extent	0.0004946242766329382
25	cancer_shape_SurfaceVolumeRatio;cancer_firstorder_TotalEnergy;cancer_shape_LeastAxisLength;cancer_shape_SurfaceArea;cancer_shape_MeshVolume;cancer_shape_VoxelVolume	StDev_plasm_Intensity_IntegratedIntensityEdge_Hematoxylin	0.0005140138584659492
26	cancer_gldm_SmallDependenceLowGrayLevelEmphasis;cancer_glrlm_LongRunHighGrayLevelEmphasis;cancer_gldm_LargeDependenceHighGrayLevelEmphasis	Mean_nuclei_AreaShape_Compactness;Median_nuclei_AreaShape_Compactness;Mean_nuclei_RadialDistribution_FracAtD_Hematoxylin_1of4;Median_nuclei_RadialDistribution_FracAtD_Hematoxylin_1of4;Median_plasm_AreaShape_Compactness;Mean_plasm_AreaShape_Extent;Median_plasm_AreaShape_Extent	0.0005548610140344449
27	bladder_firstorder_10Percentile;bladder_glszm_LargeAreaLowGrayLevelEmphasis;bladder_firstorder_90Percentile;bladder_firstorder_Mean;bladder_firstorder_Median	StDev_plasm_Parent_nuclei;Mean_plasm_Parent_nuclei;Median_plasm_Parent_nuclei	0.0005658362311258973
28	bladder_gldm_DependenceEntropy	Mean_nuclei_RadialDistribution_MeanFrac_Hematoxylin_3of4;Median_nuclei_RadialDistribution_MeanFrac_Hematoxylin_3of4;Mean_plasm_Intensity_IntegratedIntensityEdge_Hematoxylin;Median_plasm_Intensity_IntegratedIntensityEdge_Hematoxylin	0.0005845818824340844
29	bladder_glrlm_RunEntropy;bladder_gldm_DependenceEntropy	StDev_plasm_Intensity_IntegratedIntensityEdge_Hematoxylin	0.0006436703500918674
30	bladder_firstorder_10Percentile;bladder_glszm_LargeAreaLowGrayLevelEmphasis;bladder_firstorder_90Percentile;bladder_firstorder_Mean;bladder_firstorder_Median	StDev_nuclei_RadialDistribution_ZernikeMagnitude_Hematoxylin_5_3	0.0006436703500918674
31	bladder_glszm_LargeAreaLowGrayLevelEmphasis	Median_nuclei_RadialDistribution_ZernikeMagnitude_Hematoxylin_8_0;Median_nuclei_RadialDistribution_ZernikeMagnitude_Hematoxylin_6_0;StDev_nuclei_RadialDistribution_ZernikeMagnitude_Hematoxylin_8_0;Median_nuclei_AreaShape_Zernike_2_0;StDev_nuclei_AreaShape_Compactness;StDev_nuclei_RadialDistribution_FracAtD_Hematoxylin_3of4;Mean_nuclei_AreaShape_Compactness;Median_nuclei_AreaShape_Compactness;Mean_nuclei_RadialDistribution_FracAtD_Hematoxylin_1of4;Median_nuclei_RadialDistribution_FracAtD_Hematoxylin_1of4;Median_plasm_AreaShape_Compactness;Mean_plasm_AreaShape_Extent;Median_plasm_AreaShape_Extent	0.000674711734166741
32	bladder_firstorder_MeanAbsoluteDeviation;bladder_glcm_SumEntropy;bladder_firstorder_InterquartileRange;bladder_firstorder_RobustMeanAbsoluteDeviation;bladder_firstorder_Uniformity;bladder_firstorder_Entropy;bladder_glrlm_GrayLevelNonUniformityNormalized	StDev_nuclei_RadialDistribution_ZernikeMagnitude_Hematoxylin_2_2;StDev_nuclei_Texture_InfoMeas1_Hematoxylin_3_00_256;StDev_plasm_Texture_InfoMeas1_Hematoxylin_3_00_256	0.0006868897033268584
33	bladder_glcm_ClusterProminence;bladder_glcm_ClusterTendency;bladder_glrlm_GrayLevelVariance;bladder_glcm_SumSquares;bladder_firstorder_Variance;bladder_gldm_GrayLevelVariance	StDev_nuclei_AreaShape_Compactness	0.0007668383018173605
34	bladder_glszm_ZoneEntropy;bladder_glszm_GrayLevelVariance;bladder_glcm_Contrast;bladder_glcm_DifferenceVariance;bladder_firstorder_MeanAbsoluteDeviation;bladder_glcm_SumEntropy;bladder_firstorder_InterquartileRange;bladder_firstorder_RobustMeanAbsoluteDeviation;bladder_firstorder_Uniformity;bladder_firstorder_Entropy;bladder_glrlm_GrayLevelNonUniformityNormalized;bladder_glcm_MaximumProbability;bladder_glcm_JointEnergy;bladder_glcm_JointEntropy;bladder_firstorder_RootMeanSquared;bladder_glszm_GrayLevelNonUniformityNormalized;bladder_glcm_ClusterProminence;bladder_glcm_ClusterTendency;bladder_glrlm_GrayLevelVariance;bladder_glcm_SumSquares;bladder_firstorder_Variance;bladder_gldm_GrayLevelVariance	StDev_plasm_Intensity_IntegratedIntensityEdge_Hematoxylin	0.0007784655059587675
35	cancer_shape_SurfaceVolumeRatio;cancer_firstorder_TotalEnergy;cancer_shape_LeastAxisLength;cancer_shape_SurfaceArea;cancer_shape_MeshVolume;cancer_shape_VoxelVolume	Mean_nuclei_RadialDistribution_MeanFrac_Hematoxylin_3of4;Median_nuclei_RadialDistribution_MeanFrac_Hematoxylin_3of4;Mean_plasm_Intensity_IntegratedIntensityEdge_Hematoxylin;Median_plasm_Intensity_IntegratedIntensityEdge_Hematoxylin	0.0007894186095603412
36	cancer_shape_Maximum2DDiameterSlice;cancer_shape_Maximum2DDiameterRow;cancer_shape_MinorAxisLength;cancer_shape_Maximum2DDiameterColumn;cancer_shape_MajorAxisLength;cancer_shape_Maximum3DDiameter;cancer_glrlm_GrayLevelNonUniformity;cancer_gldm_GrayLevelNonUniformity;cancer_glszm_LargeAreaHighGrayLevelEmphasis;cancer_glszm_LargeAreaEmphasis;cancer_glszm_ZoneVariance;cancer_firstorder_Energy;cancer_glszm_SizeZoneNonUniformity;cancer_glszm_GrayLevelNonUniformity;cancer_glrlm_RunLengthNonUniformity;cancer_gldm_DependenceNonUniformity;cancer_shape_SurfaceVolumeRatio;cancer_firstorder_TotalEnergy;cancer_shape_LeastAxisLength;cancer_shape_SurfaceArea;cancer_shape_MeshVolume;cancer_shape_VoxelVolume	StDev_plasm_Parent_nuclei;Mean_plasm_Parent_nuclei;Median_plasm_Parent_nuclei	0.0008082482034766335
37	bladder_glszm_SizeZoneNonUniformityNormalized;bladder_glszm_SmallAreaEmphasis;cancer_glszm_SizeZoneNonUniformityNormalized;cancer_glszm_SmallAreaEmphasis	StDev_plasm_Texture_DifferenceVariance_Hematoxylin_3_00_256;StDev_plasm_Texture_InverseDifferenceMoment_Hematoxylin_3_00_256	0.000856536629344132
38	bladder_glszm_SizeZoneNonUniformityNormalized;bladder_glszm_SmallAreaEmphasis;cancer_glszm_SizeZoneNonUniformityNormalized;cancer_glszm_SmallAreaEmphasis	Texture_InfoMeas2_Hematoxylin_3_00_256	0.0008674587378605911
39	cancer_shape_SurfaceVolumeRatio;cancer_firstorder_TotalEnergy;cancer_shape_LeastAxisLength;cancer_shape_SurfaceArea;cancer_shape_MeshVolume;cancer_shape_VoxelVolume	Median_plasm_Texture_DifferenceVariance_Hematoxylin_3_00_256	0.0008857519341220712
40	bladder_glcm_Imc1;bladder_glcm_Correlation;bladder_glcm_Imc2;bladder_glrlm_RunEntropy;bladder_gldm_DependenceEntropy	StDev_plasm_Parent_nuclei;Mean_plasm_Parent_nuclei;Median_plasm_Parent_nuclei	0.0009239754229641743
41	bladder_glszm_LargeAreaEmphasis;bladder_glszm_ZoneVariance	Mean_plasm_AreaShape_Zernike_5_5;Median_plasm_AreaShape_Zernike_5_5	0.0009557234225899743
42	bladder_glszm_LargeAreaLowGrayLevelEmphasis;bladder_firstorder_90Percentile;bladder_firstorder_Mean;bladder_firstorder_Median	Median_nuclei_AreaShape_Zernike_4_0	0.0010580424968521078
43	bladder_glcm_Imc1;bladder_glcm_Correlation;bladder_glcm_Imc2;bladder_glrlm_RunEntropy;bladder_gldm_DependenceEntropy;cancer_glcm_Idmn;cancer_glcm_Idn;cancer_gldm_SmallDependenceLowGrayLevelEmphasis;cancer_glrlm_LongRunHighGrayLevelEmphasis;cancer_gldm_LargeDependenceHighGrayLevelEmphasis;cancer_glszm_LargeAreaLowGrayLevelEmphasis;cancer_shape_Maximum2DDiameterSlice;cancer_shape_Maximum2DDiameterRow;cancer_shape_MinorAxisLength;cancer_shape_Maximum2DDiameterColumn;cancer_shape_MajorAxisLength;cancer_shape_Maximum3DDiameter;cancer_glrlm_GrayLevelNonUniformity;cancer_gldm_GrayLevelNonUniformity;cancer_glszm_LargeAreaHighGrayLevelEmphasis;cancer_glszm_LargeAreaEmphasis;cancer_glszm_ZoneVariance;cancer_firstorder_Energy;cancer_glszm_SizeZoneNonUniformity;cancer_glszm_GrayLevelNonUniformity;cancer_glrlm_RunLengthNonUniformity;cancer_gldm_DependenceNonUniformity;cancer_shape_SurfaceVolumeRatio;cancer_firstorder_TotalEnergy;cancer_shape_LeastAxisLength;cancer_shape_SurfaceArea;cancer_shape_MeshVolume;cancer_shape_VoxelVolume;bladder_firstorder_10Percentile;bladder_glszm_LargeAreaLowGrayLevelEmphasis;bladder_firstorder_90Percentile;bladder_firstorder_Mean;bladder_firstorder_Median	StDev_plasm_Texture_SumAverage_Hematoxylin_3_00_256	0.0011327449173947582
44	bladder_firstorder_MeanAbsoluteDeviation;bladder_glcm_SumEntropy;bladder_firstorder_InterquartileRange;bladder_firstorder_RobustMeanAbsoluteDeviation;bladder_firstorder_Uniformity;bladder_firstorder_Entropy;bladder_glrlm_GrayLevelNonUniformityNormalized	Median_nuclei_RadialDistribution_ZernikeMagnitude_Hematoxylin_8_0	0.0011367263603201069
45	bladder_firstorder_10Percentile;bladder_glszm_LargeAreaLowGrayLevelEmphasis;bladder_firstorder_90Percentile;bladder_firstorder_Mean;bladder_firstorder_Median	StDev_nuclei_Texture_AngularSecondMoment_Hematoxylin_3_00_256	0.0011675510770219931
46	cancer_glrlm_GrayLevelNonUniformity;cancer_gldm_GrayLevelNonUniformity;cancer_glszm_LargeAreaHighGrayLevelEmphasis;cancer_glszm_LargeAreaEmphasis;cancer_glszm_ZoneVariance;cancer_firstorder_Energy;cancer_glszm_SizeZoneNonUniformity;cancer_glszm_GrayLevelNonUniformity;cancer_glrlm_RunLengthNonUniformity;cancer_gldm_DependenceNonUniformity;cancer_shape_SurfaceVolumeRatio;cancer_firstorder_TotalEnergy;cancer_shape_LeastAxisLength;cancer_shape_SurfaceArea;cancer_shape_MeshVolume;cancer_shape_VoxelVolume	StDev_plasm_AreaShape_Zernike_9_3	0.0012169595502851051
47	cancer_glszm_HighGrayLevelZoneEmphasis;cancer_glszm_SmallAreaHighGrayLevelEmphasis;cancer_glrlm_ShortRunHighGrayLevelEmphasis;cancer_glrlm_HighGrayLevelRunEmphasis;cancer_gldm_HighGrayLevelEmphasis;cancer_glcm_Autocorrelation;cancer_glcm_JointAverage;cancer_glrlm_ShortRunLowGrayLevelEmphasis;cancer_glrlm_LowGrayLevelRunEmphasis;cancer_gldm_LowGrayLevelEmphasis;cancer_glszm_LowGrayLevelZoneEmphasis;cancer_glszm_SmallAreaLowGrayLevelEmphasis	StDev_nuclei_AreaShape_Compactness	0.001258151001638893
48	bladder_firstorder_10Percentile;bladder_glszm_LargeAreaLowGrayLevelEmphasis;bladder_firstorder_90Percentile;bladder_firstorder_Mean;bladder_firstorder_Median	Median_plasm_Texture_AngularSecondMoment_Hematoxylin_3_00_256	0.0012928691310094638
49	bladder_gldm_DependenceEntropy	Mean_plasm_Texture_AngularSecondMoment_Hematoxylin_3_00_256	0.0012973413076029375
50	bladder_glszm_LargeAreaEmphasis;bladder_glszm_ZoneVariance	Mean_nuclei_AreaShape_Area;Median_nuclei_AreaShape_Area;Mean_nuclei_Intensity_IntegratedIntensity_Hematoxylin;Median_nuclei_Intensity_IntegratedIntensity_Hematoxylin;StDev_nuclei_AreaShape_Area;StDev_nuclei_Intensity_IntegratedIntensity_Hematoxylin	0.0013957573126584164
51	cancer_firstorder_Energy	Mean_nuclei_RadialDistribution_MeanFrac_Hematoxylin_3of4;Median_nuclei_RadialDistribution_MeanFrac_Hematoxylin_3of4;Mean_plasm_Intensity_IntegratedIntensityEdge_Hematoxylin;Median_plasm_Intensity_IntegratedIntensityEdge_Hematoxylin	0.0015403000094749081
52	bladder_glszm_LargeAreaEmphasis;bladder_glszm_ZoneVariance	StDev_nuclei_Intensity_StdIntensityEdge_Hematoxylin;StDev_plasm_Intensity_StdIntensityEdge_Hematoxylin	0.001547439203416246
53	bladder_glszm_LargeAreaEmphasis;bladder_glszm_ZoneVariance	Median_nuclei_RadialDistribution_ZernikeMagnitude_Hematoxylin_4_2;Mean_plasm_AreaShape_Eccentricity;Median_plasm_AreaShape_Eccentricity;Mean_nuclei_AreaShape_Eccentricity;Median_nuclei_AreaShape_Eccentricity	0.001554054258988294
54	cancer_glszm_LargeAreaLowGrayLevelEmphasis;cancer_shape_Maximum2DDiameterSlice;cancer_shape_Maximum2DDiameterRow;cancer_shape_MinorAxisLength;cancer_shape_Maximum2DDiameterColumn;cancer_shape_MajorAxisLength;cancer_shape_Maximum3DDiameter;cancer_glrlm_GrayLevelNonUniformity;cancer_gldm_GrayLevelNonUniformity;cancer_glszm_LargeAreaHighGrayLevelEmphasis;cancer_glszm_LargeAreaEmphasis;cancer_glszm_ZoneVariance;cancer_firstorder_Energy;cancer_glszm_SizeZoneNonUniformity;cancer_glszm_GrayLevelNonUniformity;cancer_glrlm_RunLengthNonUniformity;cancer_gldm_DependenceNonUniformity;cancer_shape_SurfaceVolumeRatio;cancer_firstorder_TotalEnergy;cancer_shape_LeastAxisLength;cancer_shape_SurfaceArea;cancer_shape_MeshVolume;cancer_shape_VoxelVolume	Texture_InfoMeas1_Hematoxylin_3_00_256	0.0016018361260358089
55	cancer_shape_Maximum2DDiameterSlice;cancer_shape_Maximum2DDiameterRow;cancer_shape_MinorAxisLength;cancer_shape_Maximum2DDiameterColumn;cancer_shape_MajorAxisLength;cancer_shape_Maximum3DDiameter	StDev_nuclei_AreaShape_Zernike_9_3;StDev_plasm_AreaShape_Zernike_9_3	0.0017927259289140132
56	cancer_gldm_SmallDependenceLowGrayLevelEmphasis;cancer_glrlm_LongRunHighGrayLevelEmphasis;cancer_gldm_LargeDependenceHighGrayLevelEmphasis	Median_nuclei_RadialDistribution_ZernikeMagnitude_Hematoxylin_8_0	0.001892268286567597
57	bladder_firstorder_MeanAbsoluteDeviation;bladder_glcm_SumEntropy;bladder_firstorder_InterquartileRange;bladder_firstorder_RobustMeanAbsoluteDeviation;bladder_firstorder_Uniformity;bladder_firstorder_Entropy;bladder_glrlm_GrayLevelNonUniformityNormalized	StDev_nuclei_Intensity_LowerQuartileIntensity_Hematoxylin;StDev_plasm_Intensity_LowerQuartileIntensity_Hematoxylin;StDev_nuclei_RadialDistribution_RadialCV_Hematoxylin_4of4;StDev_nuclei_Texture_SumVariance_Hematoxylin_3_00_256;StDev_plasm_Texture_SumVariance_Hematoxylin_3_00_256;Median_nuclei_Intensity_MassDisplacement_Hematoxylin;Mean_nuclei_Texture_Correlation_Hematoxylin_3_00_256;Median_nuclei_Texture_Correlation_Hematoxylin_3_00_256;Mean_plasm_Texture_Correlation_Hematoxylin_3_00_256;Median_plasm_Texture_Correlation_Hematoxylin_3_00_256	0.0019240030044841887
58	bladder_glcm_ClusterProminence;bladder_glcm_ClusterTendency;bladder_glrlm_GrayLevelVariance;bladder_glcm_SumSquares;bladder_firstorder_Variance;bladder_gldm_GrayLevelVariance	Median_nuclei_RadialDistribution_ZernikeMagnitude_Hematoxylin_8_0	0.0019783955856498545
59	bladder_glszm_LargeAreaEmphasis;bladder_glszm_ZoneVariance	Median_nuclei_Intensity_MassDisplacement_Hematoxylin;Mean_nuclei_Texture_Correlation_Hematoxylin_3_00_256;Median_nuclei_Texture_Correlation_Hematoxylin_3_00_256;Mean_plasm_Texture_Correlation_Hematoxylin_3_00_256;Median_plasm_Texture_Correlation_Hematoxylin_3_00_256	0.002050652355552737
60	bladder_glcm_Imc1;bladder_glcm_Correlation;bladder_glcm_Imc2;bladder_glrlm_RunEntropy;bladder_gldm_DependenceEntropy;cancer_glcm_Idmn;cancer_glcm_Idn;cancer_gldm_SmallDependenceLowGrayLevelEmphasis;cancer_glrlm_LongRunHighGrayLevelEmphasis;cancer_gldm_LargeDependenceHighGrayLevelEmphasis;cancer_glszm_LargeAreaLowGrayLevelEmphasis;cancer_shape_Maximum2DDiameterSlice;cancer_shape_Maximum2DDiameterRow;cancer_shape_MinorAxisLength;cancer_shape_Maximum2DDiameterColumn;cancer_shape_MajorAxisLength;cancer_shape_Maximum3DDiameter;cancer_glrlm_GrayLevelNonUniformity;cancer_gldm_GrayLevelNonUniformity;cancer_glszm_LargeAreaHighGrayLevelEmphasis;cancer_glszm_LargeAreaEmphasis;cancer_glszm_ZoneVariance;cancer_firstorder_Energy;cancer_glszm_SizeZoneNonUniformity;cancer_glszm_GrayLevelNonUniformity;cancer_glrlm_RunLengthNonUniformity;cancer_gldm_DependenceNonUniformity;cancer_shape_SurfaceVolumeRatio;cancer_firstorder_TotalEnergy;cancer_shape_LeastAxisLength;cancer_shape_SurfaceArea;cancer_shape_MeshVolume;cancer_shape_VoxelVolume;bladder_firstorder_10Percentile;bladder_glszm_LargeAreaLowGrayLevelEmphasis;bladder_firstorder_90Percentile;bladder_firstorder_Mean;bladder_firstorder_Median	Mean_nuclei_Intensity_LowerQuartileIntensity_Hematoxylin;Mean_plasm_Intensity_LowerQuartileIntensity_Hematoxylin	0.0020513702579741822
61	bladder_glszm_LargeAreaEmphasis;bladder_glszm_ZoneVariance	Median_nuclei_Intensity_MaxIntensity_Hematoxylin;Median_plasm_Intensity_MaxIntensity_Hematoxylin	0.0020869920376429115
62	cancer_glszm_LargeAreaHighGrayLevelEmphasis	Mean_nuclei_RadialDistribution_MeanFrac_Hematoxylin_3of4;Median_nuclei_RadialDistribution_MeanFrac_Hematoxylin_3of4;Mean_plasm_Intensity_IntegratedIntensityEdge_Hematoxylin;Median_plasm_Intensity_IntegratedIntensityEdge_Hematoxylin	0.0022137009938267955
63	bladder_firstorder_MeanAbsoluteDeviation;bladder_glcm_SumEntropy;bladder_firstorder_InterquartileRange;bladder_firstorder_RobustMeanAbsoluteDeviation;bladder_firstorder_Uniformity;bladder_firstorder_Entropy;bladder_glrlm_GrayLevelNonUniformityNormalized;bladder_glcm_MaximumProbability;bladder_glcm_JointEnergy;bladder_glcm_JointEntropy;bladder_firstorder_RootMeanSquared;bladder_glszm_GrayLevelNonUniformityNormalized;bladder_glcm_ClusterProminence;bladder_glcm_ClusterTendency;bladder_glrlm_GrayLevelVariance;bladder_glcm_SumSquares;bladder_firstorder_Variance;bladder_gldm_GrayLevelVariance	StDev_plasm_Texture_SumAverage_Hematoxylin_3_00_256	0.0022185286477969988
64	cancer_glrlm_GrayLevelNonUniformity	Mean_nuclei_RadialDistribution_MeanFrac_Hematoxylin_3of4;Median_nuclei_RadialDistribution_MeanFrac_Hematoxylin_3of4;Mean_plasm_Intensity_IntegratedIntensityEdge_Hematoxylin;Median_plasm_Intensity_IntegratedIntensityEdge_Hematoxylin	0.0023503247876896518
65	bladder_firstorder_RootMeanSquared	StDev_nuclei_Texture_AngularSecondMoment_Hematoxylin_3_00_256	0.0023806060461949515
66	bladder_firstorder_MeanAbsoluteDeviation;bladder_glcm_SumEntropy;bladder_firstorder_InterquartileRange;bladder_firstorder_RobustMeanAbsoluteDeviation;bladder_firstorder_Uniformity;bladder_firstorder_Entropy;bladder_glrlm_GrayLevelNonUniformityNormalized;bladder_glcm_MaximumProbability;bladder_glcm_JointEnergy;bladder_glcm_JointEntropy;bladder_firstorder_RootMeanSquared;bladder_glszm_GrayLevelNonUniformityNormalized;bladder_glcm_ClusterProminence;bladder_glcm_ClusterTendency;bladder_glrlm_GrayLevelVariance;bladder_glcm_SumSquares;bladder_firstorder_Variance;bladder_gldm_GrayLevelVariance	Mean_nuclei_RadialDistribution_MeanFrac_Hematoxylin_3of4;Median_nuclei_RadialDistribution_MeanFrac_Hematoxylin_3of4;Mean_plasm_Intensity_IntegratedIntensityEdge_Hematoxylin;Median_plasm_Intensity_IntegratedIntensityEdge_Hematoxylin	0.0023880036153495162
67	bladder_glcm_ClusterProminence;bladder_glcm_ClusterTendency;bladder_glrlm_GrayLevelVariance;bladder_glcm_SumSquares;bladder_firstorder_Variance;bladder_gldm_GrayLevelVariance	Mean_nuclei_Intensity_MaxIntensity_Hematoxylin;Mean_plasm_Intensity_MaxIntensity_Hematoxylin	0.002521501104587282
68	cancer_shape_Maximum2DDiameterSlice;cancer_shape_Maximum2DDiameterRow;cancer_shape_MinorAxisLength;cancer_shape_Maximum2DDiameterColumn;cancer_shape_MajorAxisLength;cancer_shape_Maximum3DDiameter	StDev_plasm_Intensity_IntegratedIntensityEdge_Hematoxylin	0.0025700334631835633
69	bladder_glszm_LargeAreaEmphasis;bladder_glszm_ZoneVariance	Mean_plasm_Texture_DifferenceVariance_Hematoxylin_3_00_256	0.00259110975978733
70	cancer_glrlm_RunLengthNonUniformity;cancer_gldm_DependenceNonUniformity	Mean_nuclei_RadialDistribution_MeanFrac_Hematoxylin_3of4;Median_nuclei_RadialDistribution_MeanFrac_Hematoxylin_3of4;Mean_plasm_Intensity_IntegratedIntensityEdge_Hematoxylin;Median_plasm_Intensity_IntegratedIntensityEdge_Hematoxylin	0.00259110975978733
71	bladder_glcm_Imc1;bladder_glcm_Correlation;bladder_glcm_Imc2;bladder_glrlm_RunEntropy;bladder_gldm_DependenceEntropy	Median_nuclei_Texture_InverseDifferenceMoment_Hematoxylin_3_00_256	0.002633277076898281
72	bladder_glszm_GrayLevelNonUniformityNormalized	Median_nuclei_AreaShape_Zernike_2_0;StDev_nuclei_AreaShape_Compactness;StDev_nuclei_RadialDistribution_FracAtD_Hematoxylin_3of4;Mean_nuclei_AreaShape_Compactness;Median_nuclei_AreaShape_Compactness;Mean_nuclei_RadialDistribution_FracAtD_Hematoxylin_1of4;Median_nuclei_RadialDistribution_FracAtD_Hematoxylin_1of4;Median_plasm_AreaShape_Compactness;Mean_plasm_AreaShape_Extent;Median_plasm_AreaShape_Extent	0.002688895639636386
73	cancer_gldm_SmallDependenceLowGrayLevelEmphasis;cancer_glrlm_LongRunHighGrayLevelEmphasis;cancer_gldm_LargeDependenceHighGrayLevelEmphasis	StDev_nuclei_AreaShape_Compactness	0.002694644134143407
74	cancer_gldm_SmallDependenceLowGrayLevelEmphasis;cancer_glrlm_LongRunHighGrayLevelEmphasis;cancer_gldm_LargeDependenceHighGrayLevelEmphasis	Mean_nuclei_AreaShape_Area;Median_nuclei_AreaShape_Area;Mean_nuclei_Intensity_IntegratedIntensity_Hematoxylin;Median_nuclei_Intensity_IntegratedIntensity_Hematoxylin;StDev_nuclei_AreaShape_Area;StDev_nuclei_Intensity_IntegratedIntensity_Hematoxylin;StDev_nuclei_AreaShape_FormFactor;Mean_plasm_Intensity_StdIntensityEdge_Hematoxylin;Median_plasm_Intensity_MinIntensityEdge_Hematoxylin;StDev_nuclei_Intensity_LowerQuartileIntensity_Hematoxylin;StDev_plasm_Intensity_LowerQuartileIntensity_Hematoxylin;StDev_nuclei_RadialDistribution_RadialCV_Hematoxylin_4of4;StDev_nuclei_Texture_SumVariance_Hematoxylin_3_00_256;StDev_plasm_Texture_SumVariance_Hematoxylin_3_00_256;Median_nuclei_Intensity_MassDisplacement_Hematoxylin;Mean_nuclei_Texture_Correlation_Hematoxylin_3_00_256;Median_nuclei_Texture_Correlation_Hematoxylin_3_00_256;Mean_plasm_Texture_Correlation_Hematoxylin_3_00_256;Median_plasm_Texture_Correlation_Hematoxylin_3_00_256	0.002787814080125236
75	cancer_shape_SurfaceVolumeRatio;cancer_firstorder_TotalEnergy;cancer_shape_LeastAxisLength;cancer_shape_SurfaceArea;cancer_shape_MeshVolume;cancer_shape_VoxelVolume	StDev_nuclei_Texture_InverseDifferenceMoment_Hematoxylin_3_01_256	0.0029866351660971873
76	cancer_glszm_HighGrayLevelZoneEmphasis;cancer_glszm_SmallAreaHighGrayLevelEmphasis;cancer_glrlm_ShortRunHighGrayLevelEmphasis;cancer_glrlm_HighGrayLevelRunEmphasis;cancer_gldm_HighGrayLevelEmphasis;cancer_glcm_Autocorrelation;cancer_glcm_JointAverage;cancer_glrlm_ShortRunLowGrayLevelEmphasis;cancer_glrlm_LowGrayLevelRunEmphasis;cancer_gldm_LowGrayLevelEmphasis;cancer_glszm_LowGrayLevelZoneEmphasis;cancer_glszm_SmallAreaLowGrayLevelEmphasis	StDev_nuclei_RadialDistribution_ZernikeMagnitude_Hematoxylin_2_2;StDev_nuclei_Texture_InfoMeas1_Hematoxylin_3_00_256;StDev_plasm_Texture_InfoMeas1_Hematoxylin_3_00_256	0.0030249288143571313
