Gene	Gene_name	Length
ENSG00000119725	ZNF410	45894
ENSG00000258891	AC005480.1	41950
ENSG00000270140	AC005520.3	369
ENSG00000199472	Y_RNA	111
ENSG00000156050	FAM161B	18913
ENSG00000119723	COQ6	13744
ENSG00000187097	ENTPD5	61389
ENSG00000279461	AC005480.2	74
ENSG00000119636	BBOF1	63514
ENSG00000119711	ALDH6A1	27645
ENSG00000205659	LIN52	116439
ENSG00000239910	RN7SL530P	297
ENSG00000258513	AC006349.1	234
ENSG00000119614	VSX2	23289
ENSG00000119688	ABCD4	17786
ENSG00000258559	AC005519.1	5298
ENSG00000133980	VRTN	56939
ENSG00000258737	SUB1P2	1102
ENSG00000183379	SYNDIG1L	20316
ENSG00000270000	AC005479.2	430
ENSG00000259005	AC005479.1	857
ENSG00000119655	NPC2	17985
ENSG00000283944	MIR4709	71
ENSG00000258769	RAP1AP	450
ENSG00000165898	ISCA2	3350
ENSG00000119681	LTBP2	114195
ENSG00000258425	AC013451.1	7867
ENSG00000258976	AC013451.2	1954
ENSG00000119682	AREL1	59671
ENSG00000258439	AC007956.2	541
ENSG00000222604	AC007956.1	109
ENSG00000119616	FCF1	25476
ENSG00000119596	YLPM1	96119
ENSG00000119608	PROX2	19069
ENSG00000258587	AC006530.1	570
ENSG00000119689	DLST	21852
ENSG00000198208	RPS6KL1	19442
ENSG00000119630	PGF	13792
ENSG00000119718	EIF2B2	9445
ENSG00000258646	AL049780.1	3762
ENSG00000279594	AL049780.3	1582
ENSG00000119684	MLH3	37768
ENSG00000206924	RNU6-689P	106
ENSG00000119640	ACYP1	16246
ENSG00000119703	ZC2HC1C	15818
ENSG00000119638	NEK9	47991
ENSG00000258978	HIF1AP1	174
ENSG00000259138	AL049780.2	9777
ENSG00000170348	TMED10	45143
ENSG00000273565	AL691403.2	489
ENSG00000252013	RNU4ATAC14P	88
ENSG00000258740	AL691403.1	30667
ENSG00000258820	AF111167.1	12539
ENSG00000283519	U2	80
ENSG00000170345	FOS	3404
ENSG00000119660	DPPA5P4	364
ENSG00000259687	LINC01220	3705
ENSG00000280078	AC016526.3	3930
ENSG00000258402	AC016526.1	29123
ENSG00000283629	AC016526.4	20920
ENSG00000089916	GPATCH2L	102426
ENSG00000258454	AC016526.2	27657
ENSG00000259319	AF111167.2	4058
ENSG00000140044	JDP2	46395
ENSG00000156127	BATF	24549
ENSG00000224721	AC007182.1	4700
ENSG00000119686	FLVCR2	84594
ENSG00000242951	AC007182.2	401
ENSG00000201096	RNA5SP387	105
ENSG00000280494	AC007182.3	52
ENSG00000119685	TTLL5	321454
ENSG00000133935	ERG28	11085
ENSG00000259103	AF107885.2	33196
ENSG00000242488	AF107885.1	957
ENSG00000119650	IFT43	182449
ENSG00000119699	TGFB3	24892
ENSG00000258876	TGFB3-AS1	663
ENSG00000258578	AC008015.1	464
ENSG00000198894	CIPC	19161
ENSG00000259164	AC007375.2	127151
ENSG00000165548	TMEM63C	142927
ENSG00000177108	ZDHHC22	11464
ENSG00000269883	AC007375.3	2313
ENSG00000258552	FAM204DP	577
ENSG00000201384	AC007375.1	114
ENSG00000119715	ESRRB	191125
ENSG00000259124	AC008050.1	231349
ENSG00000271423	CYCSP1	314
ENSG00000242952	RPSAP3	886
ENSG00000258566	AC007376.1	603
ENSG00000258569	AC007376.2	50730
ENSG00000071246	VASH1	21547
ENSG00000259081	AF111169.3	7234
ENSG00000258610	AF111169.1	3297
ENSG00000258301	VASH1-AS1	4991
ENSG00000013523	ANGEL1	40078
ENSG00000286437	AF111169.4	3540
ENSG00000100565	LRRC74A	43930
ENSG00000241081	RPL22P2	373
ENSG00000223174	RN7SKP17	350
ENSG00000259058	AF111169.2	2809
ENSG00000285966	AC007686.4	42511
ENSG00000258602	LINC01629	6164
ENSG00000266553	RN7SL356P	247
ENSG00000243225	AC007686.1	462
ENSG00000119669	IRF2BPL	4165
ENSG00000273729	AC007686.3	3486
ENSG00000246548	LINC02288	28439
ENSG00000258473	AC007686.2	38285
ENSG00000258819	LINC02289	7223
ENSG00000287004	AC007686.5	1288
ENSG00000063761	ADCK1	134905
ENSG00000199440	Y_RNA	112
ENSG00000165553	NGB	5829
ENSG00000221754	MIR1260A	72
ENSG00000009830	POMT2	45928
ENSG00000100577	GSTZ1	10601
ENSG00000100580	TMED8	42065
ENSG00000258510	AC007954.1	493
ENSG00000100583	SAMD15	14808
ENSG00000165555	NOXRED1	29496
ENSG00000151445	VIPAS39	31277
ENSG00000100591	AHSA1	11602
ENSG00000212371	AF111168.1	152
ENSG00000100593	ISM2	24422
ENSG00000100596	SPTLC2	110776
ENSG00000240233	RN7SL587P	280
ENSG00000258668	COX6CP11	228
ENSG00000100601	ALKBH1	35619
ENSG00000239272	RPL21P10	787
ENSG00000258917	ZMYND19P1	786
ENSG00000119705	SLIRP	53033
ENSG00000100603	SNW1	43608
ENSG00000197734	C14orf178	8912
ENSG00000211448	DIO2	190230
ENSG00000258766	DIO2-AS1	244050
ENSG00000021645	NRXN3	1697917
ENSG00000199454	RNA5SP388	118
ENSG00000239438	RPS26P48	338
ENSG00000258723	AF099810.1	3804
ENSG00000258719	AC009396.2	2801
ENSG00000258874	AC009396.3	6319
ENSG00000258478	AC009396.1	9480
ENSG00000258829	AC026888.1	2635
ENSG00000258419	AC022469.1	1650
ENSG00000258662	AC022469.2	2355
ENSG00000259106	AC008056.2	21893
ENSG00000287118	AC008056.3	4677
ENSG00000258637	AC008056.1	129597
ENSG00000258718	LINC02311	15969
ENSG00000259035	AL355838.1	289347
ENSG00000241891	RPL9P6	597
ENSG00000258501	EIF3LP1	1657
ENSG00000258743	LINC02301	104059
ENSG00000259032	ENSAP2	351
ENSG00000205562	AL049775.1	12714
ENSG00000258945	AL049775.3	787
ENSG00000185070	FLRT2	124284
ENSG00000286582	AL161753.1	21620
ENSG00000100629	CEP128	482534
ENSG00000258452	AC022404.1	272
ENSG00000165409	TSHR	191313
ENSG00000258915	BHLHB9P1	1650
ENSG00000271705	RPL17P3	620
ENSG00000271656	AC007262.1	320
ENSG00000284959	AC007262.2	158330
ENSG00000259167	NMNAT1P1	875
ENSG00000286686	AL136040.2	5624
ENSG00000165417	GTF2A1	45925
ENSG00000221303	SNORA79	139
ENSG00000273783	AL136040.1	1242
ENSG00000205579	DYNLL1P1	268
ENSG00000270343	UNGP3	674
ENSG00000140022	STON2	175809
ENSG00000242163	AL121769.1	400
ENSG00000258605	DYNLL1P2	269
ENSG00000258675	LINC02308	8384
ENSG00000071537	SEL1L	62306
ENSG00000140030	GPR65	9676
ENSG00000258407	AL157955.1	4824
ENSG00000258807	AL359237.1	161872
ENSG00000259077	AL136501.1	27357
ENSG00000054983	GALC	155845
ENSG00000259096	SHLD2P2	2676
ENSG00000042317	SPATA7	85426
ENSG00000070778	PTPN21	89229
ENSG00000258983	AL162171.2	16168
ENSG00000222990	RNU4-22P	165
ENSG00000258789	AL162171.1	896
ENSG00000100722	ZC3H14	64626
ENSG00000278576	AL162171.3	3177
ENSG00000165521	EML5	180321
ENSG00000274492	AL121768.1	2543
ENSG00000200653	RNU4-92P	135
ENSG00000165533	TTC8	56925
ENSG00000207342	Y_RNA	98
ENSG00000152315	KCNK13	123859
ENSG00000258544	GLRXP2	320
ENSG00000201351	Y_RNA	108
ENSG00000042088	TDP1	89825
ENSG00000053254	FOXN3	494278
ENSG00000277801	AL138478.1	831
ENSG00000259151	CAP2P1	1389
ENSG00000258752	AL357093.2	16704
ENSG00000258699	AL357093.1	1511
ENSG00000258380	AL356805.1	9474
ENSG00000259053	AL137230.2	542347
ENSG00000258920	FOXN3-AS1	2439
ENSG00000259073	FOXN3-AS2	1261
ENSG00000201027	RN7SKP107	289
ENSG00000258792	AL137230.1	13750
ENSG00000252655	Y_RNA	110
ENSG00000200312	RN7SKP255	312
ENSG00000259050	CHORDC2P	1426
ENSG00000140025	EFCAB11	160108
ENSG00000230997	RAB42P1	315
ENSG00000100764	PSMC1	18902
ENSG00000119720	NRDE2	64109
ENSG00000287437	AL161662.1	3426
ENSG00000242571	RPL21P11	482
ENSG00000275198	AL512791.2	4608
ENSG00000198668	CALM1	11766
ENSG00000258424	AL512791.1	2712
ENSG00000279286	AL133373.2	2827
ENSG00000258798	AL133153.2	2910
ENSG00000258446	AL133153.1	302
ENSG00000100796	PPP4R3A	52943
ENSG00000278342	AL133373.1	93
ENSG00000165914	TTC7B	291915
ENSG00000258935	AL096869.1	2481
ENSG00000259163	AL096869.2	6256
ENSG00000258437	AL139193.1	1176
ENSG00000258716	AL139193.2	2041
ENSG00000287663	AL122020.2	1462
ENSG00000213315	AL122020.1	458
ENSG00000258884	LINC02321	8135
ENSG00000100784	RPS6KA5	212780
ENSG00000133943	DGLUCY	165299
ENSG00000252644	RNU7-30P	61
ENSG00000221102	SNORA11B	128
ENSG00000119714	GPR68	21393
ENSG00000258875	AL135818.1	9452
ENSG00000260810	AL135818.2	704
ENSG00000286607	AL135818.3	1763
ENSG00000015133	CCDC88C	146521
ENSG00000133962	CATSPERB	200011
ENSG00000268295	POLR3GP1	260
ENSG00000258774	NANOGP7	917
ENSG00000258962	AL121839.1	1506
ENSG00000275154	U3	215
ENSG00000260711	AL121839.2	6942
ENSG00000165929	TC2N	87790
ENSG00000258481	AL133240.1	10163
ENSG00000140090	SLC24A4	178902
ENSG00000140092	FBLN5	78575
ENSG00000100815	TRIP11	74905
ENSG00000259020	AL049872.1	321
ENSG00000066427	ATXN3	62125
ENSG00000183648	NDUFB1	5795
ENSG00000165934	CPSF2	50176
ENSG00000100604	CHGA	12135
ENSG00000100605	ITPK1	179406
ENSG00000258730	ITPK1-AS1	4700
ENSG00000100599	RIN3	175213
ENSG00000100600	LGMN	44872
ENSG00000066455	GOLGA5	45642
ENSG00000165943	MOAP1	2724
ENSG00000153485	TMEM251	2138
ENSG00000259066	AL110118.2	33613
ENSG00000170270	GON7	4171
ENSG00000012963	UBR7	21974
ENSG00000240096	AL132838.1	541
ENSG00000011114	BTBD7	95542
ENSG00000241499	AL132838.2	313
ENSG00000133958	UNC79	374657
ENSG00000278396	AL122023.1	529
ENSG00000187581	COX8C	1174
ENSG00000202306	Y_RNA	95
ENSG00000252720	RNU6-1258P	110
ENSG00000277826	AL157858.2	159
ENSG00000197249	SERPINA1	13946
ENSG00000100665	SERPINA4	8471
ENSG00000188488	SERPINA5	31676
ENSG00000273259	AL049839.2	32588
ENSG00000288028	AL049839.3	8379
ENSG00000196136	SERPINA3	11678
ENSG00000239269	RPSAP4	887
ENSG00000240914	RPL15P2	614
ENSG00000100628	ASB2	42573
ENSG00000258987	AL132642.1	4697
ENSG00000265768	MIR4506	76
ENSG00000175699	CCDC197	21638
ENSG00000089723	OTUB2	22590
ENSG00000089737	DDX24	32925
ENSG00000165948	IFI27L1	22545
ENSG00000165949	IFI27	11862
ENSG00000119632	IFI27L2	2474
ENSG00000119698	PPP4R4	133606
ENSG00000100697	DICER1	71782
ENSG00000264607	MIR3173	67
ENSG00000235706	DICER1-AS1	23830
ENSG00000258572	AL133467.1	1775
ENSG00000176438	SYNE3	68570
ENSG00000165959	CLMN	137968
ENSG00000259143	AL356017.1	737
ENSG00000258615	AL117187.1	306
ENSG00000287111	AL117187.2	161
ENSG00000258630	LINC02292	16274
ENSG00000247092	SNHG10	12946
ENSG00000252481	SCARNA13	274
ENSG00000182512	GLRX5	11221
ENSG00000187621	TCL6	29335
ENSG00000275033	AL133467.5	118
ENSG00000259084	AL133467.3	29374
ENSG00000277468	AL133467.6	136
ENSG00000213231	TCL1B	6202
ENSG00000227051	C14orf132	54565
ENSG00000168398	BDKRB2	39487
ENSG00000258691	AL355102.2	59085
ENSG00000258412	AL355102.1	3958
ENSG00000258788	CKS1BP1	239
ENSG00000259036	AL355102.5	670
ENSG00000100739	BDKRB1	12757
ENSG00000258793	AL355102.4	9213
ENSG00000258729	AL355102.3	1677
ENSG00000066739	ATG2B	84146
ENSG00000100744	GSKIP	23836
ENSG00000222276	RNU2-33P	191
ENSG00000100749	VRK1	134340
ENSG00000225163	LINC00618	14027
ENSG00000246084	LINC02325	155075
ENSG00000140057	AK7	97299
ENSG00000259059	PEBP1P1	509
ENSG00000240051	RPL23AP10	465
ENSG00000260806	AL163051.1	1511
ENSG00000090060	PAPOLA	65678
ENSG00000258702	AL137786.1	13575
ENSG00000246223	LINC01550	53487
ENSG00000278990	AL132796.3	899
ENSG00000259119	AL132796.2	2668
ENSG00000232573	RPL3P4	422
ENSG00000234648	AL162151.2	157
ENSG00000287991	AL162151.3	3974
ENSG00000229402	AL162151.1	1253
ENSG00000127152	BCL11B	102910
ENSG00000235785	AL109767.1	1787
ENSG00000182218	HHIPL1	35459
ENSG00000036530	CYP46A1	43003
ENSG00000258672	AL160313.2	2203
ENSG00000271198	VDAC3P1	849
ENSG00000066629	EML1	204367
ENSG00000183576	SETD3	83141
ENSG00000272439	RNU6-91P	106
ENSG00000090061	CCNK	53875
ENSG00000205476	CCDC85C	104017
ENSG00000258749	AL110504.1	1075
ENSG00000200506	Y_RNA	101
ENSG00000247970	AL160313.1	21184
ENSG00000183092	BEGAIN	50266
ENSG00000259031	AL845552.2	1470
ENSG00000223403	MEG9	4654
ENSG00000230805	AL132709.7	5932
ENSG00000258460	AL355096.1	2986
ENSG00000259023	LINC00524	2274
ENSG00000258498	DIO3OS	8210
ENSG00000283857	MIR1247	135
ENSG00000214548	MEG3	81621
ENSG00000266461	MIR2392	83
ENSG00000275161	AL117190.5	203
ENSG00000274884	AL117190.3	86
ENSG00000276919	AL117190.7	104
ENSG00000258663	AL117190.2	26594
ENSG00000258399	AL117190.1	110925
ENSG00000211574	MIR770	97
ENSG00000207989	MIR493	88
ENSG00000199151	MIR337	92
ENSG00000283159	MIR665	71
ENSG00000254656	RTL1	23969
ENSG00000208001	MIR431	113
ENSG00000207569	MIR433	92
ENSG00000207608	MIR127	96
ENSG00000272458	MIR432	93
ENSG00000207942	MIR136	81
ENSG00000225746	MEG8	144089
ENSG00000276225	AL117190.6	96
ENSG00000275662	SNORD112	76
ENSG00000275134	AL117190.4	121
ENSG00000199005	MIR370	74
ENSG00000202191	SNORD113-1	68
ENSG00000212384	SNORD113-2	71
ENSG00000201700	SNORD113-3	71
ENSG00000201672	SNORD113-4	74
ENSG00000272474	SNORD113-5	77
ENSG00000200215	SNORD113-6	74
ENSG00000200632	SNORD113-7	76
ENSG00000200367	SNORD113-8	73
ENSG00000201950	SNORD113-9	71
ENSG00000199575	SNORD114-1	71
ENSG00000200823	SNORD114-2	77
ENSG00000201839	SNORD114-3	74
ENSG00000200832	SNORD114-4	74
ENSG00000199798	SNORD114-5	69
ENSG00000200150	AL132709.1	72
ENSG00000201263	SNORD114-6	71
ENSG00000199390	SNORD114-7	76
ENSG00000201240	SNORD114-9	71
ENSG00000200279	SNORD114-10	71
ENSG00000200608	SNORD114-11	74
ENSG00000202270	SNORD114-12	74
ENSG00000201247	SNORD114-13	73
ENSG00000199593	SNORD114-14	74
ENSG00000201557	SNORD114-15	71
ENSG00000199914	SNORD114-16	69
ENSG00000201569	SNORD114-17	74
ENSG00000202142	SNORD114-18	71
ENSG00000199942	SNORD114-19	74
ENSG00000201500	AL132709.3	77
ENSG00000201036	AL132709.2	88
ENSG00000201710	AL132709.4	74
ENSG00000202048	SNORD114-20	71
ENSG00000272344	SNORD114-21	71
ENSG00000202293	SNORD114-22	71
ENSG00000200406	SNORD114-23	71
ENSG00000201899	SNORD114-24	71
ENSG00000200612	SNORD114-25	71
ENSG00000200413	SNORD114-26	71
ENSG00000200636	SNORD114-27	69
ENSG00000200480	SNORD114-28	71
ENSG00000201689	SNORD114-29	69
ENSG00000201318	SNORD114-30	71
ENSG00000200089	SNORD114-31	74
ENSG00000222095	AL132709.5	73
ENSG00000222185	AL132709.6	74
ENSG00000199088	MIR379	66
ENSG00000199109	MIR411	95
ENSG00000207749	MIR299	62
ENSG00000198982	MIR380	60
ENSG00000221745	MIR1197	87
ENSG00000199069	MIR323A	85
ENSG00000211582	MIR758	87
ENSG00000207761	MIR329-1	79
ENSG00000207762	MIR329-2	83
ENSG00000194717	MIR494	80
ENSG00000221036	MIR1193	77
ENSG00000212040	MIR543	77
ENSG00000207743	MIR495	81
ENSG00000196405	EVL	172787
ENSG00000242888	AL133368.1	813
ENSG00000258693	AL133368.2	983
ENSG00000258560	AL157912.1	22075
ENSG00000265154	MIR151B	95
ENSG00000199082	MIR342	98
ENSG00000168350	DEGS2	15688
ENSG00000258982	AL133523.1	31148
ENSG00000100811	YY1	44490
ENSG00000258904	AL157871.5	1624
ENSG00000283840	MIR6764	60
ENSG00000259052	AL157871.6	11497
ENSG00000197119	SLC25A29	15431
ENSG00000258504	AL157871.1	3539
ENSG00000198984	MIR345	97
ENSG00000243976	RN7SL523P	297
ENSG00000140107	SLC25A47	7082
ENSG00000258666	AL157871.4	20271
ENSG00000140105	WARS	43015
ENSG00000258521	AL157871.2	722
ENSG00000258581	AL157871.3	292
ENSG00000176473	WDR25	153885
ENSG00000258620	AL135838.1	2329
ENSG00000258500	AL845552.1	322
ENSG00000253075	RN7SKP92	243
ENSG00000283071	LBHD2	5817
ENSG00000259444	AL161669.1	4162
ENSG00000205436	EXOC3L4	10415
ENSG00000259717	LINC00677	2160
ENSG00000185215	TNFAIP2	13997
ENSG00000259374	NDUFB4P11	2284
ENSG00000259535	RPL21P12	811
ENSG00000259525	GCSHP2	835
ENSG00000251533	LINC00605	1807
ENSG00000270705	AL161669.2	41
ENSG00000278071	AL161669.3	776
ENSG00000242837	RPL21P13	480
ENSG00000270938	RAP2CP1	732
ENSG00000258404	LINC02320	96654
ENSG00000241494	AL355032.1	437
ENSG00000258512	LINC00239	2085
ENSG00000078304	PPP2R5C	166191
ENSG00000259088	AL137779.2	13766
ENSG00000207208	RNU6-790P	104
ENSG00000256705	AL137779.1	6096
ENSG00000259161	AL137779.3	728
ENSG00000271780	AL118558.3	1078
ENSG00000272444	AL118558.4	647
ENSG00000197102	DYNC1H1	91870
ENSG00000259013	AL118558.2	237
ENSG00000258959	AL118558.1	29913
ENSG00000240457	RN7SL472P	292
ENSG00000080824	HSP90AA1	58961
ENSG00000140153	WDR20	85344
ENSG00000080823	MOK	80690
ENSG00000022976	ZNF839	25325
ENSG00000100865	CINP	21814
ENSG00000196663	TECPR2	139536
ENSG00000212330	RNU6-244P	103
ENSG00000156381	ANKRD9	8032
ENSG00000266015	MIR4309	82
ENSG00000259230	LINC02323	10572
ENSG00000239224	RN7SL546P	289
ENSG00000089902	RCOR1	137912
ENSG00000230988	RPL23AP11	468
ENSG00000202459	Y_RNA	107
ENSG00000259508	AL132801.1	4751
ENSG00000131323	TRAF3	134024
ENSG00000206969	RNU6-1316P	107
ENSG00000166126	AMN	10940
ENSG00000198752	CDC42BPB	125169
ENSG00000259515	AL117209.1	3603
ENSG00000213176	RPL13P6	625
ENSG00000166183	ASPG	29896
ENSG00000259775	AL138976.2	693
ENSG00000100664	EIF5	11481
ENSG00000272533	SNORA28	125
ENSG00000259428	HMGB3P26	581
ENSG00000243904	RPSAP5	883
ENSG00000075413	MARK3	118439
ENSG00000244691	RPL10AP1	642
ENSG00000166165	CKB	3166
ENSG00000260285	AL133367.1	4062
ENSG00000166166	TRMT61A	7877
ENSG00000252469	RNU7-160P	61
ENSG00000258851	AL139300.2	8456
ENSG00000166170	BAG5	6287
ENSG00000126214	KLC1	152353
ENSG00000256053	COA8	44561
ENSG00000256500	AL139300.1	122962
ENSG00000201184	RNU4-68P	140
ENSG00000246451	AL049840.2	1653
ENSG00000270108	AL049840.6	551
ENSG00000269910	AL049840.3	534
ENSG00000269940	AL049840.4	610
ENSG00000269958	AL049840.5	810
ENSG00000126215	XRCC3	17895
ENSG00000100711	ZFYVE21	17938
ENSG00000253096	Y_RNA	97
ENSG00000088808	PPP1R13B	114380
ENSG00000270591	AL049840.7	474
ENSG00000202275	AL049840.1	76
ENSG00000258735	LINC00637	10328
ENSG00000258534	AL132712.1	25745
ENSG00000287346	AL132712.2	7233
ENSG00000156411	ATP5MPL	15981
ENSG00000156414	TDRD9	124211
ENSG00000227729	RD3L	2135
ENSG00000242894	RN7SL634P	291
ENSG00000282122	IGHV7-4-1	485
ENSG00000211937	IGHV2-5	463
ENSG00000282639	IGHV3-64D	451
ENSG00000211938	IGHV3-7	532
ENSG00000282651	IGHV5-10-1	492
ENSG00000211956	IGHV4-34	482
ENSG00000278473	IGHV3-41	450
ENSG00000211959	IGHV4-39	507
ENSG00000211964	IGHV3-48	534
ENSG00000211967	IGHV3-53	671
ENSG00000275475	IGHV3-54	446
ENSG00000211966	IGHV5-51	492
ENSG00000211912	IGHD2-21	27
ENSG00000244620	AC246787.2	6493
ENSG00000237020	IGHD1-20	16
ENSG00000211914	IGHD6-19	20
ENSG00000211915	IGHD5-18	19
ENSG00000227800	IGHD4-17	15
ENSG00000211917	IGHD3-16	36
ENSG00000211918	IGHD2-15	30
ENSG00000227108	IGHD1-14	16
ENSG00000211920	IGHD6-13	20
ENSG00000211921	IGHD5-12	22
ENSG00000232543	IGHD4-11	15
ENSG00000211923	IGHD3-10	30
ENSG00000211924	IGHD3-9	30
ENSG00000211925	IGHD2-8	30
ENSG00000237197	IGHD1-7	16
ENSG00000228131	IGHD6-6	17
ENSG00000211928	IGHD5-5	19
ENSG00000233655	IGHD4-4	15
ENSG00000211930	IGHD3-3	30
ENSG00000211931	IGHD2-2	30
ENSG00000226777	FAM30A	14663
ENSG00000236170	IGHD1-1	16
ENSG00000211933	IGHV6-1	497
ENSG00000254279	IGHVII-1-1	179
ENSG00000271968	ADAM6	2540
ENSG00000225200	AC246787.1	626
ENSG00000211934	IGHV1-2	501
ENSG00000253780	IGHVIII-2-1	290
ENSG00000211935	IGHV1-3	479
ENSG00000276775	IGHV4-4	498
ENSG00000270816	LINC00221	38638
ENSG00000253465	IGHVIV-44-1	411
ENSG00000253895	IGHVII-44-2	249
ENSG00000211961	IGHV1-45	495
ENSG00000211962	IGHV1-46	739
ENSG00000253808	IGHVII-46-1	36
ENSG00000229092	IGHV3-47	445
ENSG00000224373	IGHV4-59	576
ENSG00000211941	IGHV3-11	569
ENSG00000254215	IGHVIII-11-1	266
ENSG00000254174	IGHV1-12	289
ENSG00000211942	IGHV3-13	532
ENSG00000253412	IGHVIII-13-1	290
ENSG00000253709	IGHV1-14	240
ENSG00000211943	IGHV3-15	539
ENSG00000253458	IGHVII-15-1	219
ENSG00000211944	IGHV3-16	525
ENSG00000283948	IGHVIII-16-1	303
ENSG00000254046	IGHV1-17	418
ENSG00000273894	SLC20A1P2	965
ENSG00000211945	IGHV1-18	493
ENSG00000253883	IGHV3-19	290
ENSG00000271201	AC247036.1	1968
ENSG00000211946	IGHV3-20	517
ENSG00000211947	IGHV3-21	530
ENSG00000253957	IGHV3-22	461
ENSG00000253345	IGHVII-22-1	264
ENSG00000254045	IGHVIII-22-2	27
ENSG00000211949	IGHV3-23	534
ENSG00000211950	IGHV1-24	495
ENSG00000238275	HOMER2P2	846
ENSG00000276210	LINC00226	1154
ENSG00000253441	IGHV3-25	450
ENSG00000253367	IGHVIII-25-1	240
ENSG00000211951	IGHV2-26	466
ENSG00000253462	IGHVIII-26-1	249
ENSG00000253482	IGHVII-26-2	324
ENSG00000254326	IGHV7-27	413
ENSG00000211952	IGHV4-28	506
ENSG00000253149	IGHVII-28-1	252
ENSG00000254289	IGHV3-32	457
ENSG00000270550	IGHV3-30	531
ENSG00000253491	IGHVII-30-1	300
ENSG00000253587	IGHV3-30-2	448
ENSG00000231475	IGHV4-31	509
ENSG00000283607	IGHVII-30-21	256
ENSG00000270474	IGHV3-29	446
ENSG00000211955	IGHV3-33	531
ENSG00000211972	IGHV3-66	527
ENSG00000282600	IGHV3-69-1	452
ENSG00000211973	IGHV1-69	497
ENSG00000211970	IGHV4-61	538
ENSG00000280411	IGHV1-69D	496
ENSG00000274576	IGHV2-70	443
ENSG00000254056	IGHV3-71	461
ENSG00000225698	IGHV3-72	542
ENSG00000211976	IGHV3-73	539
ENSG00000224650	IGHV3-74	689
ENSG00000254134	IGHVII-74-1	240
ENSG00000254176	IGHV3-75	460
ENSG00000253247	IGHV3-76	294
ENSG00000253310	IGHVIII-76-1	285
ENSG00000265929	MIR5195	114
ENSG00000211978	IGHV5-78	294
ENSG00000253674	IGHVII-78-1	268
ENSG00000275747	IGHV3-79	432
ENSG00000283906	IGHV4-80	403
ENSG00000211979	IGHV7-81	488
ENSG00000188403	IGHV1OR15-9	435
ENSG00000258706	SLC20A1P3	938
ENSG00000259337	IGHV1OR15-2	436
ENSG00000258410	AC087386.1	19208
ENSG00000278935	AC087386.2	4636
ENSG00000258780	BMS1P15	7050
ENSG00000287122	AC026495.2	30102
ENSG00000258654	AC026495.1	14430
ENSG00000278626	AC023310.4	649
ENSG00000260409	AC012414.5	26436
ENSG00000238478	RNU6-498P	106
ENSG00000259383	AC012414.3	15483
ENSG00000259443	AC012414.4	1787
ENSG00000260986	AC126335.1	2397
ENSG00000279595	AC126335.2	4636
ENSG00000258684	BMS1P16	7052
ENSG00000237161	AC068446.1	1548
ENSG00000247765	AC068446.2	27008
ENSG00000207289	RNU6-1235P	106
ENSG00000280881	AC060814.5	15501
ENSG00000280703	AC060814.4	1787
ENSG00000180229	HERC2P3	126685
ENSG00000258488	AC023310.1	4375
ENSG00000277322	GOLGA6L6	9944
ENSG00000223877	RPS8P10	621
ENSG00000280709	LINC02203	100481
ENSG00000284988	LINC02203	4346
ENSG00000279639	AC135068.5	982
ENSG00000259324	OR11K1P	842
ENSG00000285491	AC135068.11	941
ENSG00000285116	AC135068.10	933
ENSG00000182974	AC135068.1	1083
ENSG00000279408	AC135068.3	1124
ENSG00000279445	AC135068.4	924
ENSG00000281113	AC135068.7	2199
ENSG00000281087	AC135068.6	621
ENSG00000281179	AC135068.8	437
ENSG00000281550	AC135068.9	439
ENSG00000278263	AC135068.2	435
ENSG00000280655	AC134981.1	432
ENSG00000270505	IGHV1OR15-1	437
ENSG00000259098	AC025884.2	710
ENSG00000258732	AC025884.1	3901
ENSG00000273679	AC100757.1	1834
ENSG00000185182	GOLGA8DP	10863
ENSG00000274568	RN7SL545P	289
ENSG00000275363	AC100757.3	3945
ENSG00000277865	GOLGA6L22	10327
ENSG00000281909	HERC2P7	4401
ENSG00000276550	HERC2P2	95245
ENSG00000277561	GOLGA8IP	11832
ENSG00000277515	RN7SL495P	236
ENSG00000276141	WHAMMP3	21854
ENSG00000277435	AC138649.2	704
ENSG00000283273	AC138649.5	3385
ENSG00000277867	AC138649.4	286
ENSG00000275325	PDCD6IPP1	17814
ENSG00000273976	GOLGA6L1	9756
ENSG00000278552	AC116165.3	515
ENSG00000259414	AC242376.1	4364
ENSG00000273756	AC100756.3	7871
ENSG00000261739	GOLGA8S	12483
ENSG00000278222	RN7SL536P	289
ENSG00000254585	MAGEL2	4318
ENSG00000261418	AC100756.2	4373
ENSG00000174450	GOLGA6L2	8205
ENSG00000274471	AC242376.2	4959
ENSG00000258736	AL583722.3	2239
ENSG00000260792	LINC02280	4438
ENSG00000265291	MIR4710	55
ENSG00000256050	AL583722.1	3786
ENSG00000203485	INF2	32929
ENSG00000258858	AL583722.4	1193
ENSG00000185100	ADSSL1	23139
ENSG00000184990	SIVA1	15347
ENSG00000258430	AL583722.2	922
ENSG00000142208	AKT1	26402
ENSG00000179627	ZBTB42	4116
ENSG00000279140	AL590326.1	304
ENSG00000258701	LINC00638	2517
ENSG00000239365	RPS26P49	333
ENSG00000196183	RPS2P4	855
ENSG00000258811	AL583810.2	3253
ENSG00000258593	AL583810.1	1044
ENSG00000099814	CEP170B	31502
ENSG00000259067	AL583810.3	862
ENSG00000166428	PLD4	13077
ENSG00000185567	AHNAK2	41130
